scenario,task_id,candidate_policy,baseline_policy,metric,direction,n_trials,mean_delta,ci95_low,ci95_high,win_rate
normal,normal,adaptive,heuristic,avg_reward,higher,1,0.0263,0.0263,0.0263,1.0
normal,normal,adaptive,heuristic,avg_cost_usd,lower,1,14362.844333,14362.844333,14362.844333,0.0
normal,normal,adaptive,heuristic,blackout_rate,lower,1,-0.625,-0.625,-0.625,1.0
normal,normal,adaptive,heuristic,constraint_violation_rate,lower,1,-0.083333,-0.083333,-0.083333,1.0
normal,normal,adaptive,heuristic,emissions_tco2,lower,1,325.2985,325.2985,325.2985,0.0
normal,normal,adaptive,heuristic,unmet_energy_mwh,lower,1,-203.37,-203.37,-203.37,1.0
normal,normal,adaptive,heuristic,reserve_shortfall_rate,lower,1,0.0,0.0,0.0,0.0
normal,normal,adaptive,heuristic,stability_event_rate,lower,1,0.0,0.0,0.0,0.0
normal,normal,adaptive,random,avg_reward,higher,1,0.016355,0.016355,0.016355,1.0
normal,normal,adaptive,random,avg_cost_usd,lower,1,15597.171917,15597.171917,15597.171917,0.0
normal,normal,adaptive,random,blackout_rate,lower,1,-0.708333,-0.708333,-0.708333,1.0
normal,normal,adaptive,random,constraint_violation_rate,lower,1,-1.041667,-1.041667,-1.041667,1.0
normal,normal,adaptive,random,emissions_tco2,lower,1,330.0885,330.0885,330.0885,0.0
normal,normal,adaptive,random,unmet_energy_mwh,lower,1,-217.055,-217.055,-217.055,1.0
normal,normal,adaptive,random,reserve_shortfall_rate,lower,1,0.0,0.0,0.0,0.0
normal,normal,adaptive,random,stability_event_rate,lower,1,0.0,0.0,0.0,0.0
normal,normal,heuristic,random,avg_reward,higher,1,-0.009945,-0.009945,-0.009945,0.0
normal,normal,heuristic,random,avg_cost_usd,lower,1,1234.327583,1234.327583,1234.327583,0.0
normal,normal,heuristic,random,blackout_rate,lower,1,-0.083333,-0.083333,-0.083333,1.0
normal,normal,heuristic,random,constraint_violation_rate,lower,1,-0.958333,-0.958333,-0.958333,1.0
normal,normal,heuristic,random,emissions_tco2,lower,1,4.79,4.79,4.79,0.0
normal,normal,heuristic,random,unmet_energy_mwh,lower,1,-13.685,-13.685,-13.685,1.0
normal,normal,heuristic,random,reserve_shortfall_rate,lower,1,0.0,0.0,0.0,0.0
normal,normal,heuristic,random,stability_event_rate,lower,1,0.0,0.0,0.0,0.0
shock,stress_shock,adaptive,heuristic,avg_reward,higher,1,-0.006638,-0.006638,-0.006638,0.0
shock,stress_shock,adaptive,heuristic,avg_cost_usd,lower,1,17400.794467,17400.794467,17400.794467,0.0
shock,stress_shock,adaptive,heuristic,blackout_rate,lower,1,-0.566667,-0.566667,-0.566667,1.0
shock,stress_shock,adaptive,heuristic,constraint_violation_rate,lower,1,0.366667,0.366667,0.366667,0.0
shock,stress_shock,adaptive,heuristic,emissions_tco2,lower,1,361.1748,361.1748,361.1748,0.0
shock,stress_shock,adaptive,heuristic,unmet_energy_mwh,lower,1,-116.726,-116.726,-116.726,1.0
shock,stress_shock,adaptive,heuristic,reserve_shortfall_rate,lower,1,0.0,0.0,0.0,0.0
shock,stress_shock,adaptive,heuristic,stability_event_rate,lower,1,0.0,0.0,0.0,0.0
shock,stress_shock,adaptive,random,avg_reward,higher,1,0.000565,0.000565,0.000565,1.0
shock,stress_shock,adaptive,random,avg_cost_usd,lower,1,19658.804467,19658.804467,19658.804467,0.0
shock,stress_shock,adaptive,random,blackout_rate,lower,1,-0.5,-0.5,-0.5,1.0
shock,stress_shock,adaptive,random,constraint_violation_rate,lower,1,-0.633333,-0.633333,-0.633333,1.0
shock,stress_shock,adaptive,random,emissions_tco2,lower,1,345.9581,345.9581,345.9581,0.0
shock,stress_shock,adaptive,random,unmet_energy_mwh,lower,1,-107.097,-107.097,-107.097,1.0
shock,stress_shock,adaptive,random,reserve_shortfall_rate,lower,1,0.0,0.0,0.0,0.0
shock,stress_shock,adaptive,random,stability_event_rate,lower,1,0.0,0.0,0.0,0.0
shock,stress_shock,heuristic,random,avg_reward,higher,1,0.007203,0.007203,0.007203,1.0
shock,stress_shock,heuristic,random,avg_cost_usd,lower,1,2258.01,2258.01,2258.01,0.0
shock,stress_shock,heuristic,random,blackout_rate,lower,1,0.066667,0.066667,0.066667,0.0
shock,stress_shock,heuristic,random,constraint_violation_rate,lower,1,-1.0,-1.0,-1.0,1.0
shock,stress_shock,heuristic,random,emissions_tco2,lower,1,-15.2167,-15.2167,-15.2167,1.0
shock,stress_shock,heuristic,random,unmet_energy_mwh,lower,1,9.629,9.629,9.629,0.0
shock,stress_shock,heuristic,random,reserve_shortfall_rate,lower,1,0.0,0.0,0.0,0.0
shock,stress_shock,heuristic,random,stability_event_rate,lower,1,0.0,0.0,0.0,0.0
outage,outage,adaptive,heuristic,avg_reward,higher,1,0.004053,0.004053,0.004053,1.0
outage,outage,adaptive,heuristic,avg_cost_usd,lower,1,16286.352367,16286.352367,16286.352367,0.0
outage,outage,adaptive,heuristic,blackout_rate,lower,1,-0.6,-0.6,-0.6,1.0
outage,outage,adaptive,heuristic,constraint_violation_rate,lower,1,0.133333,0.133333,0.133333,0.0
outage,outage,adaptive,heuristic,emissions_tco2,lower,1,398.6401,398.6401,398.6401,0.0
outage,outage,adaptive,heuristic,unmet_energy_mwh,lower,1,-87.759,-87.759,-87.759,1.0
outage,outage,adaptive,heuristic,reserve_shortfall_rate,lower,1,0.0,0.0,0.0,0.0
outage,outage,adaptive,heuristic,stability_event_rate,lower,1,0.0,0.0,0.0,0.0
outage,outage,adaptive,random,avg_reward,higher,1,-0.001339,-0.001339,-0.001339,0.0
outage,outage,adaptive,random,avg_cost_usd,lower,1,18061.817567,18061.817567,18061.817567,0.0
outage,outage,adaptive,random,blackout_rate,lower,1,-0.666667,-0.666667,-0.666667,1.0
outage,outage,adaptive,random,constraint_violation_rate,lower,1,-0.866667,-0.866667,-0.866667,1.0
outage,outage,adaptive,random,emissions_tco2,lower,1,389.9716,389.9716,389.9716,0.0
outage,outage,adaptive,random,unmet_energy_mwh,lower,1,-72.451,-72.451,-72.451,1.0
outage,outage,adaptive,random,reserve_shortfall_rate,lower,1,0.0,0.0,0.0,0.0
outage,outage,adaptive,random,stability_event_rate,lower,1,0.0,0.0,0.0,0.0
outage,outage,heuristic,random,avg_reward,higher,1,-0.005392,-0.005392,-0.005392,0.0
outage,outage,heuristic,random,avg_cost_usd,lower,1,1775.4652,1775.4652,1775.4652,0.0
outage,outage,heuristic,random,blackout_rate,lower,1,-0.066667,-0.066667,-0.066667,1.0
outage,outage,heuristic,random,constraint_violation_rate,lower,1,-1.0,-1.0,-1.0,1.0
outage,outage,heuristic,random,emissions_tco2,lower,1,-8.6685,-8.6685,-8.6685,1.0
outage,outage,heuristic,random,unmet_energy_mwh,lower,1,15.308,15.308,15.308,0.0
outage,outage,heuristic,random,reserve_shortfall_rate,lower,1,0.0,0.0,0.0,0.0
outage,outage,heuristic,random,stability_event_rate,lower,1,0.0,0.0,0.0,0.0
renewable_collapse,renewable_collapse,adaptive,heuristic,avg_reward,higher,1,-0.019985,-0.019985,-0.019985,0.0
renewable_collapse,renewable_collapse,adaptive,heuristic,avg_cost_usd,lower,1,16567.5767,16567.5767,16567.5767,0.0
renewable_collapse,renewable_collapse,adaptive,heuristic,blackout_rate,lower,1,-0.633333,-0.633333,-0.633333,1.0
renewable_collapse,renewable_collapse,adaptive,heuristic,constraint_violation_rate,lower,1,0.433333,0.433333,0.433333,0.0
renewable_collapse,renewable_collapse,adaptive,heuristic,emissions_tco2,lower,1,333.3858,333.3858,333.3858,0.0
renewable_collapse,renewable_collapse,adaptive,heuristic,unmet_energy_mwh,lower,1,67.947,67.947,67.947,0.0
renewable_collapse,renewable_collapse,adaptive,heuristic,reserve_shortfall_rate,lower,1,0.0,0.0,0.0,0.0
renewable_collapse,renewable_collapse,adaptive,heuristic,stability_event_rate,lower,1,0.0,0.0,0.0,0.0
renewable_collapse,renewable_collapse,adaptive,random,avg_reward,higher,1,-0.024151,-0.024151,-0.024151,0.0
renewable_collapse,renewable_collapse,adaptive,random,avg_cost_usd,lower,1,18133.0201,18133.0201,18133.0201,0.0
renewable_collapse,renewable_collapse,adaptive,random,blackout_rate,lower,1,-0.6,-0.6,-0.6,1.0
renewable_collapse,renewable_collapse,adaptive,random,constraint_violation_rate,lower,1,-0.533333,-0.533333,-0.533333,1.0
renewable_collapse,renewable_collapse,adaptive,random,emissions_tco2,lower,1,291.6539,291.6539,291.6539,0.0
renewable_collapse,renewable_collapse,adaptive,random,unmet_energy_mwh,lower,1,134.215,134.215,134.215,0.0
renewable_collapse,renewable_collapse,adaptive,random,reserve_shortfall_rate,lower,1,0.0,0.0,0.0,0.0
renewable_collapse,renewable_collapse,adaptive,random,stability_event_rate,lower,1,0.0,0.0,0.0,0.0
renewable_collapse,renewable_collapse,heuristic,random,avg_reward,higher,1,-0.004166,-0.004166,-0.004166,0.0
renewable_collapse,renewable_collapse,heuristic,random,avg_cost_usd,lower,1,1565.4434,1565.4434,1565.4434,0.0
renewable_collapse,renewable_collapse,heuristic,random,blackout_rate,lower,1,0.033333,0.033333,0.033333,0.0
renewable_collapse,renewable_collapse,heuristic,random,constraint_violation_rate,lower,1,-0.966667,-0.966667,-0.966667,1.0
renewable_collapse,renewable_collapse,heuristic,random,emissions_tco2,lower,1,-41.7319,-41.7319,-41.7319,1.0
renewable_collapse,renewable_collapse,heuristic,random,unmet_energy_mwh,lower,1,66.268,66.268,66.268,0.0
renewable_collapse,renewable_collapse,heuristic,random,reserve_shortfall_rate,lower,1,0.0,0.0,0.0,0.0
renewable_collapse,renewable_collapse,heuristic,random,stability_event_rate,lower,1,0.0,0.0,0.0,0.0
